"X";"Y";"H";"Rho1";"Rho2";"Rho3";"Rho4";"Rho5";"Rho6";"Gamma"
14.45609;52.36458;101.8;29;27;22;9;9;9;1.29
14.45606;52.36457;101.8;27;22;20;8;8;9;1.29
14.45602;52.36456;101.8;26;22;19;7;8;10;1.3
14.45599;52.36456;101.8;25;22;17;7;9;10;1.3
14.45595;52.36455;101.8;25;24;14;8;8;11;1.3
14.45592;52.36454;101.8;26;22;14;10;11;13;1.29
14.45589;52.36453;101.9;26;22;16;14;13;17;1.28
14.45585;52.36453;101.8;28;26;20;21;20;24;1.27
14.45582;52.36452;101.8;30;25;27;27;26;32;1.28
14.45579;52.36451;101.6;33;32;36;35;31;42;1.28
14.45576;52.3645;101.6;36;33;47;45;42;55;1.28
14.45572;52.3645;101.6;42;48;59;54;55;66;1.29
14.45569;52.36449;101.5;50;59;66;65;77;80;1.29
14.45565;52.36448;101.4;63;70;75;80;75;93;1.29
14.45562;52.36447;101.1;79;86;80;95;93;107;1.28
14.45558;52.36447;101;97;114;84;109;107;117;1.27
14.45554;52.36446;100.9;117;98;88;122;129;127;1.26
14.45551;52.36445;101.2;136;111;92;133;134;131;1.26
14.45548;52.36444;101.2;151;117;89;140;120;132;1.26
14.45544;52.36444;101.2;161;140;96;144;123;132;1.26
14.45541;52.36443;101.2;168;155;99;178;128;130;1.25
14.45538;52.36442;101.2;172;153;105;211;151;128;1.25
14.45534;52.36442;101.1;175;138;111;243;190;126;1.25
14.4553;52.36441;101.2;178;170;127;274;172;132;1.24
14.45527;52.3644;101.1;183;148;139;300;197;137;1.23
14.45523;52.3644;101.2;190;184;148;267;179;144;1.22
14.4552;52.36439;101.2;195;205;153;237;202;154;1.21
14.45516;52.36439;101.2;199;169;160;209;189;167;1.2
14.45513;52.36438;101.2;203;193;163;181;184;166;1.19
14.45509;52.36437;101.3;208;212;162;161;172;173;1.18
14.45506;52.36437;101.3;213;192;166;176;179;184;1.17
14.45503;52.36436;101.3;217;197;180;192;189;200;1.16
14.45499;52.36435;101.3;224;219;192;209;211;220;1.15
14.45496;52.36435;101.3;232;223;203;234;257;251;1.14
14.45492;52.36434;101.3;236;196;223;258;276;277;1.14
14.45489;52.36433;101.3;238;206;241;278;279;301;1.14
14.45485;52.36432;101.4;241;208;256;299;335;328;1.13
14.45482;52.36431;100.8;242;209;277;325;353;356;1.12
14.45478;52.3643;100.8;242;278;300;353;403;391;1.12
14.45475;52.36429;100.8;243;280;326;381;452;423;1.12
14.45471;52.36428;100.5;249;262;349;405;374;451;1.11
14.45468;52.36428;100.5;259;329;364;422;425;457;1.11
14.45464;52.36427;100.4;273;348;372;423;446;439;1.11
14.45461;52.36426;100.4;285;333;368;400;424;397;1.11
14.45457;52.36425;100.3;295;326;351;360;377;350;1.1
14.45454;52.36424;100.4;303;308;323;316;288;298;1.11
14.4545;52.36424;100.4;302;261;298;274;240;264;1.11
14.45447;52.36423;100.7;293;255;285;245;247;265;1.11
14.45444;52.36422;100.7;285;286;278;248;263;312;1.11
14.4544;52.36421;100.6;282;317;289;287;316;398;1.1
14.45437;52.36421;100.4;278;296;328;374;378;533;1.09
14.45433;52.3642;100.4;286;353;397;488;444;694;1.07
14.4543;52.36419;100.4;306;424;461;622;656;847;1.06
14.45427;52.36418;100.4;347;456;548;747;742;964;1.04
14.45423;52.36418;100.5;402;585;638;854;889;1052;1.04
14.45419;52.36417;100.6;470;636;713;917;1025;1106;1.03
14.45416;52.36416;100.6;538;540;760;957;1054;1131;1.03
14.45412;52.36416;100.7;600;814;805;977;1250;1141;1.03
14.45409;52.36415;100.7;644;735;826;982;1178;1122;1.04
14.45405;52.36415;100.7;669;833;824;948;1186;1077;1.05
14.45402;52.36414;100.7;675;835;783;901;940;1008;1.06
14.45398;52.36414;100.9;665;668;732;846;883;931;1.06
14.45394;52.36413;101;637;570;677;780;801;845;1.07
14.45391;52.36412;101;606;517;617;717;776;794;1.06
14.45387;52.36412;101;581;632;566;697;629;756;1.05
14.45384;52.36411;101;559;624;574;687;746;733;1.06
14.4538;52.3641;101.1;548;568;585;639;628;668;1.06
14.45377;52.36409;101.1;560;523;556;567;611;578;1.06
14.45373;52.36408;101.1;569;535;509;477;585;468;1.09
14.4537;52.36407;101.1;564;574;448;366;440;351;1.1
14.45367;52.36406;101;553;466;352;251;312;222;1.09
14.45364;52.36405;100.8;533;504;260;173;191;140;1.1
14.4536;52.36404;100.8;498;388;203;123;117;96;1.1
14.45357;52.36403;100.8;461;291;164;93;93;70;1.09
14.45353;52.36402;100.9;428;310;139;75;72;62;1.08
14.4535;52.36402;100.9;397;239;123;71;76;69;1.08
14.45343;52.364;101;369;215;113;76;65;80;1.08
14.4534;52.36399;101;348;189;111;91;91;94;1.08
14.45337;52.36398;101;338;215;120;114;103;112;1.07
14.45333;52.36397;101;340;222;136;144;105;125;1.05
14.4533;52.36396;101.1;352;226;156;173;160;134;1.05
14.45326;52.36396;101.2;367;254;176;196;182;140;1.05
14.45323;52.36395;101.4;381;281;195;207;154;136;1.05
14.45319;52.36395;101.5;387;260;206;203;168;125;1.05
14.45316;52.36394;101.6;383;254;205;185;152;116;1.07
14.45312;52.36393;101.6;368;281;191;163;139;105;1.09
14.45309;52.36393;101.6;342;228;174;140;107;96;1.1
14.45305;52.36392;101.6;309;186;156;119;108;85;1.12
14.45301;52.36391;101.6;274;217;135;101;108;76;1.13
14.45298;52.3639;102;238;169;113;85;85;61;1.15
14.45294;52.3639;102.1;199;150;94;68;59;46;1.17
14.45291;52.36389;102.1;162;111;74;50;53;32;1.2
14.45287;52.36388;102.1;125;88;52;33;37;23;1.23
14.45284;52.36388;102.2;92;49;33;22;23;17;1.27
14.4528;52.36387;102.2;64;37;21;16;16;14;1.31
14.45277;52.36386;102.2;43;23;14;13;15;14;1.35
14.45274;52.36386;102.3;31;21;10;12;14;15;1.38
14.4527;52.36385;102.3;25;18;10;13;14;15;1.4
14.45267;52.36384;102.3;22;18;11;14;14;17;1.4
14.45264;52.36383;102.3;23;17;13;16;17;22;1.4
14.4526;52.36383;102.3;26;23;17;21;24;32;1.39
14.45257;52.36382;102.2;30;26;28;29;32;48;1.37
14.45253;52.36382;102.2;36;37;41;42;49;73;1.36
14.4525;52.36381;102.2;42;46;60;60;65;93;1.35
14.45246;52.36381;102.2;50;63;86;79;86;105;1.34
14.45243;52.3638;102.3;59;80;111;94;92;108;1.34
14.45239;52.36379;102.4;68;88;116;102;99;106;1.33
14.45236;52.36378;102.4;76;101;116;107;105;96;1.33
14.45233;52.36377;102.3;83;85;111;106;103;88;1.33
14.45229;52.36377;102.2;89;97;99;101;92;83;1.33
14.45226;52.36376;102.2;91;81;88;96;94;80;1.33
14.45223;52.36375;102.2;91;85;88;91;83;74;1.34
14.4522;52.36374;102.3;90;87;89;83;85;67;1.35
14.45217;52.36373;102.3;87;75;84;74;73;60;1.36
14.45214;52.36373;102.2;84;87;76;67;66;55;1.37
14.45212;52.36372;102;79;75;67;62;61;52;1.37
14.4521;52.36371;101.9;74;76;61;60;51;51;1.39
14.45208;52.36371;101.8;70;58;51;60;51;48;1.42
14.45205;52.3637;101.7;66;57;48;57;54;43;1.43
14.45202;52.36369;101.6;64;49;44;51;50;36;1.44
14.45199;52.36368;101.5;62;50;38;42;39;28;1.45
14.45197;52.36368;101.5;57;49;30;32;27;20;1.46
14.45194;52.36367;101.4;51;39;24;22;21;15;1.47
14.45191;52.36367;101.4;43;29;17;16;15;12;1.49
14.45188;52.36366;101.2;33;22;13;12;13;10;1.53
14.45185;52.36365;101.1;26;15;11;10;12;9;1.58
14.45181;52.36365;101;20;11;10;10;10;9;1.62
14.45178;52.36364;100.9;17;11;9;9;9;9;1.65
14.45175;52.36364;100.8;15;12;9;9;10;8;1.66
14.45172;52.36363;100.8;14;10;9;9;10;8;1.67
14.45169;52.36363;100.7;13;10;9;9;7;8;1.66
14.45165;52.36362;100.6;13;13;9;9;8;8;1.66
14.45162;52.36362;100.5;13;12;9;9;9;8;1.68
14.45159;52.36361;100.3;12;9;9;9;8;8;1.69
14.45156;52.3636;100.2;12;11;9;9;8;8;1.69
14.45152;52.3636;100.1;12;11;9;9;10;8;1.7
14.45149;52.36359;100;12;11;8;9;9;8;1.69
