E,N,H,Rho.1,Rho.2,Rho.3,Rho.4,Rho.6,Gamma
14.05575167,52.40091333,60.84600067,130.5963661,110.2437414,74.29707552,406.7598132,95.2745975,1.180658887
14.0558,52.40090834,60.88299942,123.5330958,80.81149753,96.96016194,245.9017987,92.30676545,1.169546552
14.05584833,52.40090167,60.90599823,101.5345194,76.19894863,75.86051888,180.1173874,78.15228187,1.182125711
14.055895,52.40089499,60.90599823,104.4688217,87.93117159,85.0616578,241.9452004,75.63428596,1.14877543
14.05594167,52.40089,60.92100143,92.22647787,64.03235747,59.28763798,113.5315007,63.48532666,1.184400342
14.05599,52.40088501,60.95500183,104.5207765,84.45059672,74.73260029,71.50951143,64.59690805,1.23706272
14.05603667,52.40087999,60.94200134,94.48151195,71.83683871,74.38728423,144.9508096,67.71394064,1.232124493
14.05608333,52.40087334,60.92699814,99.51374146,87.82522611,81.91946834,157.904791,79.83902187,1.19169119
14.05613167,52.40086667,60.90499878,88.34542777,77.75659309,78.23149879,158.7342004,75.07543643,1.162188434
14.05617833,52.40086168,60.90599823,85.0381355,73.845274,73.27318427,110.902258,68.64430244,1.197495029
14.05622667,52.400855,60.85599899,86.39854871,73.06031199,72.97268031,163.1563999,66.50889935,1.2466784
14.05627333,52.40084833,60.83200073,79.63745845,76.45334692,73.51841965,173.0015169,73.16132079,1.224530557
14.05632167,52.40084333,60.76300049,75.37713807,69.54946329,61.40886368,188.6364324,65.43038839,1.232138339
14.05636834,52.40083666,60.75500107,83.88927345,66.40003454,63.43290704,63.1626515,48.67781412,1.2743901
14.05641667,52.40083167,60.70700073,83.78103186,76.31915466,64.16629579,121.2321524,56.21902514,1.269699548
14.056465,52.40082668,60.67900085,80.3858514,66.47480417,64.36765013,101.8246472,57.1648959,1.259229828
14.05651167,52.40082,60.66500092,130.7188596,108.1415056,88.6573873,157.5283351,67.95353079,1.242515619
14.05656,52.40081501,60.63700104,133.150288,108.1029886,101.3103166,154.2622653,80.60324454,1.207138858
14.05660667,52.40080833,60.59600067,112.782339,82.2292329,76.78198433,108.1824336,63.22913007,1.17779613
14.056655,52.40080334,60.57799912,122.5873912,83.78183791,71.47761838,58.48723067,53.464186,1.177987344
14.05670333,52.40079667,60.50099945,163.1635585,125.3202173,86.55433165,228.7345008,84.76658529,1.174906219
14.05675167,52.40079168,60.44800186,234.4194757,205.4677789,187.5015046,340.6583424,130.8189089,1.193820795
14.05679834,52.40078665,60.38700104,207.7427873,183.4136223,170.4733435,291.8141431,133.011276,1.217722925
14.05684834,52.40078001,60.3390007,124.0443402,66.70707594,67.85918081,164.7401681,65.96994475,1.206189087
14.05689833,52.40077334,60.23600006,149.5440546,110.2776418,75.84164589,377.8440091,92.35931006,1.20448519
14.05694833,52.40076834,60.15599823,301.4914169,241.7474727,231.8461997,90.65610449,109.3984598,1.165243451
14.05699667,52.40076167,60.0909996,278.6869379,225.9814272,215.5027606,423.8361713,1000.442152,1.125512802
14.05704667,52.40075668,60.04299927,357.5272827,367.5792542,367.6135236,542.931255,277.650147,1.111951859
14.05709667,52.40075165,59.99700165,399.7533659,457.7989177,583.3511084,807.9219041,622.8109145,1.091158365
14.057145,52.40074666,59.98799896,444.885343,532.9585734,693.2086279,904.7360819,769.2490826,1.094367102
14.05719334,52.40074167,59.97900009,401.8448037,385.7313753,626.842623,603.9529086,721.7143934,1.111934912
14.05724,52.400735,59.98600006,424.9031073,474.4216117,593.0058254,692.6084178,671.8509396,1.088987857
14.05728667,52.40073001,59.98099899,452.8364337,540.0559609,704.0905178,935.1282157,773.979042,1.045525311
14.05733333,52.40072502,59.97499847,382.0823991,437.2387715,573.4064001,893.1762473,697.9046628,1.071944547
14.05738,52.40071834,59.98099899,341.5034772,332.8159195,393.6677985,569.6849821,372.2965808,1.118222473
14.05742667,52.40071335,59.98799896,292.5923505,310.3250778,326.498994,513.4834206,276.9604588,1.122520135
14.057475,52.40070667,59.97900009,314.6584295,342.9848212,403.5547397,722.6343346,407.7705645,1.08163143
14.05752167,52.40070168,59.95600128,229.3102182,189.3214607,150.7732397,389.2398399,142.1441776,1.111707526
14.05757,52.40069666,59.89400101,183.8400622,122.1320555,91.42716684,416.1818117,141.7215373,1.154011111
14.05761833,52.40069002,59.83000183,183.7086334,123.9464634,27.66172294,459.1414255,124.8286841,1.13946557
14.05766833,52.40068334,59.74000168,103.0881347,81.17223851,102.4327574,356.6391327,77.37662445,1.171486957
14.05771833,52.40067666,59.63299942,107.1000908,77.84287063,66.77776145,240.620907,82.5751593,1.181794153
14.05776833,52.40066999,59.51300049,231.3766848,152.206594,103.547256,577.0729073,183.9511391,1.181829297
14.05782167,52.400665,59.4070015,343.5696136,365.850378,459.1419714,914.6816307,499.6244552,1.169159338
14.05787333,52.40065832,59.3030014,288.5892685,289.71707,341.0208072,630.8026714,400.0754085,1.092089621
14.057925,52.40065333,59.23799896,110.4576175,42.55032623,55.04537625,483.4256551,47.73379695,1.072727393
14.05797667,52.40064834,59.18700028,143.6773405,91.84979454,64.5108432,207.1029628,235.3122227,1.093519147
14.05802667,52.40064335,59.18299866,302.3143804,348.9951274,377.3643411,729.4550274,274.0777204,1.078727252
14.05807667,52.40064001,59.1780014,339.3449123,386.3689275,467.3831932,737.2022495,651.9846021,1.055723431
14.05812667,52.40063667,59.27199936,235.5003156,249.547629,280.0672893,489.6538953,333.2007879,1.08777626
14.058175,52.40063168,59.34299851,149.2807009,167.7019566,163.27701,219.1538488,154.0880322,1.138252966
14.058225,52.40062834,59.46500015,192.5991245,125.3758906,101.3538796,198.0590204,82.94156994,1.150232193
14.05827334,52.40062332,59.50400162,146.3103447,95.52915346,68.28423454,309.187592,92.5146547,1.182739029
14.05832167,52.40062002,59.64799881,120.0053159,77.36378644,61.29692651,153.2062616,79.45862136,1.195479822
14.05836833,52.40061668,59.76800156,96.34415763,70.71761161,36.82784854,274.8337805,82.63773702,1.20124873
14.05841667,52.40061334,59.89500046,250.8505552,202.6105363,162.2464848,136.4318647,68.38432796,1.176862045
14.05846667,52.40060835,60.00600052,118.7136207,77.24245452,90.84935026,134.5063964,83.6628786,1.147789877
14.05851667,52.40060501,60.11299896,120.500744,52.18259579,91.65921106,160.2419658,66.17076047,1.155985876
14.05856667,52.40060167,60.18099976,346.8577081,221.5605585,169.8853725,152.7541404,71.73470596,1.154650375
14.05861834,52.40059668,60.26800156,209.6061954,92.21983439,99.21356407,69.64448705,75.64645423,1.184397549
14.05866667,52.40059334,60.32899857,118.3528002,65.21541103,66.62715517,164.5923466,82.95913793,1.229674976
14.058715,52.40059001,60.40200043,154.3946516,90.5386076,75.16460387,138.8344045,73.64104663,1.176394974
14.05876333,52.40058832,60.47100067,97.85179254,66.46718242,54.66764809,114.8115641,64.41591193,1.163443448
14.05881167,52.40058502,60.5340004,99.24914495,83.99168667,55.11870783,220.7011234,76.93114286,1.178869266
14.05886,52.40058333,60.5870018,106.2044719,71.28116766,70.28156319,162.2960284,82.03871303,1.163795486
14.05890833,52.40057999,60.64599991,108.3300023,65.44829299,66.26913121,65.4420364,60.45841079,1.169431085
14.058955,52.40057666,60.70999908,99.74100099,78.73945425,60.99448941,266.9664673,68.05834338,1.208245905
14.05900333,52.400575,60.78300095,108.9528368,68.77814209,51.87139553,160.393598,60.24175913,1.259715582
14.05905,52.40057166,60.82099915,94.76286537,89.59442677,66.32400297,570.6626881,129.3714011,1.224530005
14.05909834,52.40057001,60.85900116,113.8517656,87.17565755,60.63520096,281.0472524,95.66180837,1.226778253
14.05914667,52.40056833,60.88899994,107.8695039,76.41007944,67.57774369,190.1381926,75.23677156,1.203479999
14.059195,52.40056667,60.92499924,107.5061242,78.37097942,65.90190226,205.2290252,79.06050549,1.156100607
14.059245,52.40056499,60.95000076,126.9673785,77.55809138,63.36760445,213.6029128,76.45360314,1.164709195
14.05929333,52.40056168,60.96799851,115.4704326,71.91400971,71.72873197,113.0089363,65.46158033,1.220661414
14.05934167,52.40056,61.00400162,213.2827963,123.8953135,92.98327138,170.4707803,77.44534154,1.233237476
14.05939167,52.40055666,61.04499817,287.1945609,224.9259884,185.7350216,287.5741771,135.062343,1.216493945
14.05944,52.40055501,61.11000061,206.6475754,159.3754296,138.7552318,332.5965848,135.8560722,1.235630597
14.05948667,52.40055167,61.15800095,217.8705807,150.0614966,95.90280584,271.5644844,106.9627264,1.206251907
14.059535,52.40055002,61.22299957,137.7929045,110.0173299,80.31605658,267.2499059,105.4456417,1.183257645
14.05958333,52.40054668,61.28300095,149.6678642,98.36053751,97.04635024,57.96461527,59.37051634,1.203882513
14.05963,52.40054499,61.37200165,124.6547894,86.41170807,60.64111277,149.5450158,78.49357297,1.189304089
14.05967667,52.40054166,61.45100021,126.8230697,87.09328429,68.80492091,235.7081201,87.50670414,1.139996396
14.059725,52.40054,61.5019989,220.3173371,162.9547085,109.3129816,379.0123102,107.9474375,1.168955161
14.05977167,52.40053666,61.55899811,208.9710083,186.4899097,178.6875067,322.2718787,156.6528049,1.189323395
14.05982,52.40053333,61.64199829,203.6403396,161.8494526,153.7214657,276.2189835,133.8889965,1.181228284
14.05986833,52.40053167,61.70000076,154.5497708,109.5352821,97.30798721,181.7876096,94.92801975,1.200920435
14.05991667,52.40052999,61.74399948,142.6158137,85.03558686,86.3970346,138.9723043,72.79438221,1.207970038
14.059965,52.40052668,61.79299927,100.8240119,97.49407536,67.2296709,338.0067186,88.80061346,1.249566388
14.06001333,52.400525,61.83200073,77.47805843,66.77719038,61.13002879,195.860209,75.81703293,1.299610541
14.06006,52.40052166,61.85100174,84.82784064,66.13487024,70.87069604,104.106363,68.81563866,1.282379901
14.06010833,52.40051832,61.85800171,100.8723046,82.02928214,113.1143612,72.15162846,59.77453814,1.225938531
14.06015667,52.40051498,61.81800079,96.74947809,53.56856144,82.6138424,169.8673273,33.82019719,1.204416949
14.060205,52.40051168,61.78300095,155.8205264,107.0776729,116.1412358,93.95656292,78.22558498,1.211658685
14.060255,52.40050834,61.76599884,182.6807748,131.5728479,106.376807,128.8966717,81.89801253,1.224420404
14.060305,52.40050666,61.74399948,194.0726273,109.1968855,111.4731995,70.63927039,73.32082504,1.221210275
14.06035334,52.40050332,61.72299957,180.2594914,113.7363345,101.422704,151.8528794,81.01769459,1.185886676
14.0604,52.40050166,61.69800186,149.3295013,85.81201788,82.49765156,119.077449,63.80608008,1.149088803
14.060445,52.40049833,61.69800186,121.7845579,82.90961822,80.22336212,176.6449684,77.79576651,1.206710431
14.06049167,52.40049499,61.66400147,85.29411658,77.51951039,75.01245227,87.27260073,59.09960348,1.264397357
14.06053833,52.40049334,61.61999893,92.09851308,80.67744622,71.58072105,135.5655857,81.95567601,1.24221066
14.060585,52.40049,61.55899811,78.86546691,58.6229867,59.14560605,70.48534099,57.58883833,1.215919519
14.06063167,52.40048666,61.53099823,75.405304,63.67357496,61.61921827,117.7712356,58.21712527,1.245077225
14.06067834,52.40048332,61.47600174,79.39025286,67.54877313,68.20616684,50.93776959,55.63391254,1.302314557
14.06072333,52.40047998,61.43600082,77.46760234,60.4974984,54.56102609,149.9990495,64.76742183,1.298117462
14.06077,52.40047668,61.36700058,76.906629,66.84325692,58.36889195,189.6622476,79.01710828,1.278358954
14.06081833,52.40047334,61.30799866,87.85771198,65.60967519,58.34045551,201.5529999,73.16678093,1.308547449
14.06086667,52.40047,61.23400116,90.86522125,63.56817277,63.61530186,83.21121224,61.54297993,1.290420325
14.060915,52.40046832,61.18099976,158.0283446,112.4808619,88.58084706,153.1080064,69.77405511,1.203666968
14.060965,52.40046501,61.12400055,112.2627968,78.19140798,69.58451761,161.2808713,78.62000607,1.209685248
14.06101667,52.40046167,61.05400085,117.1095798,90.2281248,79.85056401,227.8612912,82.89241067,1.227133069
14.06106667,52.40045834,60.98500061,155.3155208,126.5381763,90.92515259,230.4651426,90.22886997,1.225667255
