E,N,H,Rho 1,Rho 2,Rho 3,Rho 4,Rho 5,Rho 6,Gamma,V,Kurs,Strecke gesammt,GWI
13.26922833,52.20076501,46.67599869,498.1014094,624.49198,653.2656392,656.3067716,0.351331951,637.1514928,0.93740433,13.06000042,23.79999924,0.114811834,0.188195478
13.26925166,52.20079333,46.70999908,536.6701312,694.0681432,761.6642156,779.4190904,0.656961702,1075.212755,0.935262952,12.77000046,24.89999962,0.118455116,0.174271475
13.26927335,52.20082167,46.74300003,568.3344071,690.2726196,716.0665966,612.9759951,1.478498061,797.6771101,0.972244229,12.52000046,24.60000038,0.121925832,0.171069043
13.26929334,52.20084999,46.81499863,604.0887607,684.1190196,672.3739713,590.8204386,2.564162231,506.2775975,0.971367142,12.05000019,24.70000076,0.125294232,0.160798744
13.26931334,52.20087667,46.86700058,1020.999307,1074.651018,908.4966841,737.1146521,2.548618162,627.2051481,0.907832117,11.55000019,25.20000076,0.128602746,0.088916037
13.26933502,52.20090334,46.95299912,1145.061988,1353.958638,1376.668183,1101.516809,2.016609663,967.3819461,0.892694012,11.89000034,26,0.131878202,0.077960322
13.26935666,52.20092834,46.9980011,1017.535459,1184.991406,1243.663634,1261.632784,0.65888362,1149.241852,0.942802692,11.68000031,26.60000038,0.135146831,0.092655512
13.26937834,52.20095499,47.04399872,1129.543765,1142.128162,1063.133789,931.0613159,3.132351609,847.1368543,0.973664075,11.84000015,27,0.138366314,0.086199765
13.26939999,52.20098167,47.09199905,1006.491974,1089.257933,1074.879007,900.0153383,3.788400382,858.5098381,0.943803543,12.40999985,25.70000076,0.14173243,0.093771592
13.26942167,52.20101001,47.14099884,953.1430525,1261.377314,1053.179869,930.4520533,4.893779931,890.7648836,0.944214337,12.55000019,24.20000076,0.145202674,0.099063234
13.26944501,52.20103833,47.16899872,950.9273788,1121.259069,1123.388046,1031.271049,2.182158053,975.0182018,0.911191129,12.76000023,25.10000038,0.148716553,0.095821316
13.26946665,52.20106667,47.20700073,750.5855481,916.0285955,975.7159817,968.7997311,0.676621068,924.1892296,1.282464435,12.72000027,25.10000038,0.152261306,0.170861861
13.26948834,52.20109499,47.23099899,584.2785391,611.131153,610.7852957,942.1644116,0.618894256,612.4646528,1.276798889,12.80000019,24.70000076,0.155836718,0.218525721
13.26951002,52.20112333,47.22700119,563.2278852,395.526426,226.6576546,408.6008047,15.80585731,418.9379858,0.930485031,12.85999966,25.60000038,0.159415411,0.165205782
13.26953335,52.20115333,47.23400116,578.9358165,716.8003043,511.2869458,455.6924806,2.58838935,511.9985085,0.96408819,12.65999985,26.29999924,0.162959572,0.166527647
13.26955668,52.20118167,47.20999908,795.6188258,613.0536297,662.6429366,1373.210835,3.949462234,662.7742603,0.95862886,12.98999977,27.89999962,0.166469201,0.120488459
13.26958167,52.20121001,47.19800186,823.7816264,1207.848478,1065.582828,707.6201957,4.23968345,899.8104938,0.955999725,13.0699997,28.10000038,0.170124724,0.116050139
13.269605,52.20124,47.16699982,828.6263042,807.9078838,715.5298354,1930.365299,0.650794446,662.6767147,0.947035895,12.85999966,27.5,0.173716551,0.114289866
13.26962999,52.20126834,47.15499878,1256.084294,1319.849795,1101.971372,870.2838507,1.486450927,767.7010234,0.91780387,12.51000023,27.89999962,0.17726561,0.073068653
13.26965332,52.20129499,47.13999939,924.6527033,884.7125525,799.9073034,741.946966,1.021423786,663.3446732,0.891033514,12.43000031,28.29999924,0.180678656,0.096364128
13.26967834,52.20132167,47.12599945,1060.788624,1003.225209,867.4868391,763.3367929,2.218502762,658.4983469,0.878220496,12.11999989,28.89999962,0.184096551,0.082789396
13.26970333,52.20134834,47.11399841,997.7424463,904.9972516,856.7254046,777.1970018,1.647150321,670.8019903,0.906476581,12.39000034,30.10000038,0.187638522,0.090852763
13.26972501,52.20137666,47.11999893,1112.351367,1173.88445,1156.142698,1081.827029,2.779408824,863.2844093,0.949996539,12.5,25.39999962,0.19099544,0.085404358
13.26974834,52.201405,47.12799835,848.0720164,887.1373127,742.7060939,572.9881473,2.703937421,533.1542626,0.945137543,12.76000023,25.89999962,0.194502057,0.111445434
13.26976999,52.20143334,47.12599945,760.1401747,836.5092236,617.5060065,2400.006376,3.613310764,450.5173291,0.957820547,12.97999954,26.5,0.198029152,0.126005779
13.26979332,52.20146167,47.15299988,1040.052026,1526.538977,1340.427768,1071.309317,4.390511574,963.1965874,0.972502814,12.93999958,27.10000038,0.201632709,0.093505208
13.26981665,52.20149167,47.12599945,1124.55574,1305.208033,1200.968999,1039.484207,2.503911619,1085.684191,0.932533923,13.03999996,26.29999924,0.20523638,0.082924651
13.26983999,52.20152,47.08599854,1047.361357,1279.063855,1315.344764,1310.555336,2.947164513,1232.395323,0.908785849,13.07999992,25.39999962,0.208864448,0.086769083
13.269865,52.20155001,47.0359993,1268.489193,1896.97226,1883.365456,1671.92889,4.661078409,1621.81002,0.904286777,13.31000042,26.70000076,0.212567849,0.071288489
13.26988834,52.20158,46.95500183,1616.91553,2932.539505,2219.713319,1741.991514,12.21758224,2048.019524,0.90501712,13.22000027,27.70000076,0.216265917,0.055971824
13.26991332,52.20160834,46.87200165,885.6207108,1488.057903,2292.751907,1897.088847,12.49102503,1941.057465,0.927879993,13.32999992,27.39999962,0.21995171,0.104771713
13.26993666,52.20163833,46.79600143,1127.312189,1668.281798,1440.510468,1043.137894,8.54755998,864.1920427,0.938937665,13.22999954,26.60000038,0.223630886,0.083289942
13.26995999,52.20166833,46.72100067,1136.399616,1404.14587,1339.072369,1086.868185,6.967156216,1460.061354,0.914963492,13.11999989,26.89999962,0.227286348,0.080514238
13.26998332,52.20169667,46.60800171,1144.820506,1279.819296,1024.320067,825.8123103,3.148943925,955.8965219,0.881172504,12.93000031,25.60000038,0.230978114,0.076970363
13.27000666,52.20172501,46.51499939,1021.765141,875.2136242,788.2268956,644.607542,0.658088913,667.0142664,0.902677841,12.42000008,25.29999924,0.234392421,0.088344944
13.27002834,52.201755,46.41600037,765.4334385,821.2248113,680.2786,594.7553203,1.269075245,467.2946722,0.944263019,13.05000019,26,0.237983083,0.123363178
13.27005167,52.20178334,46.31000137,792.364463,973.2536995,1019.985956,698.1829221,4.088846,670.3820504,0.9637897,13.27000046,27.29999924,0.241620818,0.121634645
13.270075,52.20181333,46.23300171,930.8396763,839.8264427,769.4648951,565.6456611,1.209005786,548.3042923,0.930851981,13.27000046,25.89999962,0.241620818,0.100001322
13.27009834,52.20184334,46.09400177,693.3439938,642.5732311,628.2312464,568.74782,0.459531862,537.9969452,0.941871432,13.28999996,25.5,0.249014247,0.135844752
13.27012167,52.20187333,45.95000076,524.2449322,416.9643576,348.8499763,322.006526,1.52582947,352.3893622,0.959240945,13.39000034,26.60000038,0.252668689,0.182975721
13.27014666,52.201905,45.7859993,380.3481623,325.6901229,280.1140302,191.6677049,0.488231424,237.8907693,0.913238101,13.60999966,26.20000076,0.256416424,0.240105827
13.27016999,52.20193501,45.58499908,456.9251502,397.3174939,285.147407,202.6926962,1.389798762,237.2188024,0.894662613,13.93000031,26.10000038,0.260246901,0.195800694
13.27019501,52.20196667,45.38999939,456.1889961,371.2007958,298.9048799,249.4384936,0.53191477,288.9764647,0.943900308,14.14999962,25,0.264142455,0.206909925
13.27021999,52.20199833,45.17599869,364.2533634,791.7014319,629.7458667,450.5607488,5.646146249,570.3819521,0.955288086,13.97999954,25,0.268102901,0.262259235
13.27024333,52.20203001,44.95700073,321.9123134,698.007645,630.5658118,4048.543396,3.115507331,2379.066638,0.962104446,14.32999992,24.20000076,0.272024638,0.298871589
13.27026835,52.20206167,44.73799896,414.0108461,252.0061489,204.3455882,235.567142,3.254254771,241.4037262,0.965423593,14.03999996,24.89999962,0.2759195,0.233187995
13.27029168,52.20209333,44.56600189,550.25342,470.4963581,337.7747079,265.2463015,3.108744826,270.1749472,0.95574567,13.60000038,24.10000038,0.279860181,0.173691909
13.27031501,52.20212334,44.36600113,413.3544438,302.3894439,256.0843607,254.3149678,2.395800689,278.754657,0.97246929,13.68999958,25.20000076,0.283556896,0.235262812
13.27034,52.202155,44.17499924,413.332485,341.2351105,270.4728316,254.0664454,1.250717476,345.6268522,0.992901035,13.68999958,25.89999962,0.283556896,0.240218485
13.27036333,52.202185,44.06299973,450.2698923,311.7995095,221.4916401,4727.186381,5.290187062,1666.811494,0.945005392,13.73999977,26.89999962,0.291224503,0.209875323
